Categoría,Artículo,Descripción,Unidades en stock,Para los combos
Baldosas,B1,Blanco,0,
Baldosas,B2,Marfil,2,"12, 18"
Baldosas,B3,Blanco y azul a cuadros,1,15
Baldosas,B4,Blanco y amarillo a cuadros,0,
Empapelado vinílico,E1,Símil marfil blanco,0,
Empapelado vinílico,E2,Símil marfil a rayas celestes,1,15
Empapelado vinílico,E3,Símil mármol azul,1,18
Empapelado vinílico,E4,Símil mármol amarillo claro,0,
Apliques de luz,L1,Plafón único rectangular,2,"12, 15"
Apliques de luz,L2,Plafones led ovalados,0,
Apliques de luz,L3,Bombillas de filamentos,1,18
Apliques de luz,L4,Globos de luz fría,0,
Alacenas,A1,Madera clara,1,15
Alacenas,A2,Madera oscura,2,"12, 18"
Alacenas,A3,Madera clara con puertas traslúcidas,0,
Alacenas,A4,Madera oscura con puertas traslúcidas,0,
Mesadas,M1,Madera laqueada,1,15
Mesadas,M2,Cemento alisado,1,12
Mesadas,M3,Mármol sintético oscuro,0,
Mesadas,M4,Granito,1,18
Bacha y grifería,G1,Bacha dividida con grifo mono-comando,1,18
Bacha y grifería,G2,Bacha dividida con grifos separados,0,
Bacha y grifería,G3,Bacha única con grifo mono-comando,1,15
Bacha y grifería,G4,Bacha única con grifos separados,1,12
Lavavajillas,W1,Blanco,0,
Lavavajillas,W2,Gris,1,12
Cocinas,C1,Cocina eléctrica blanca,0,
Cocinas,C2,Cocina eléctrica negra,2,"12, 18"
Cocinas,C3,Cocina a gas blanca,1,15
Cocinas,C4,Cocina a gas negra,0,
